x-axis,1
second,Volt
-18.05000E-06,+742.18750000E-03
-18.00000E-06,+632.81250000E-03
-17.95000E-06,+519.53125000E-03
-17.90000E-06,+410.15625000E-03
-17.85000E-06,+304.68750000E-03
-17.80000E-06,+199.21875000E-03
-17.75000E-06,+93.75000000E-03
-17.70000E-06,-3.90625000E-03
-17.65000E-06,-113.28125000E-03
-17.60000E-06,-226.56250000E-03
-17.55000E-06,-335.93750000E-03
-17.50000E-06,-437.50000000E-03
-17.45000E-06,-542.96875000E-03
-17.40000E-06,-652.34375000E-03
-17.35000E-06,-757.81250000E-03
-17.30000E-06,-867.18750000E-03
-17.25000E-06,-980.46875000E-03
-17.20000E-06,-1.08203125000E+00
-17.15000E-06,-1.18750000000E+00
-17.10000E-06,-1.29296875000E+00
-17.05000E-06,-1.39843750000E+00
-17.00000E-06,-1.50781250000E+00
-16.95000E-06,-1.61328125000E+00
-16.90000E-06,-1.71875000000E+00
-16.85000E-06,-1.82421875000E+00
-16.80000E-06,-1.93359375000E+00
-16.75000E-06,-2.03515625000E+00
-16.70000E-06,-2.14453125000E+00
-16.65000E-06,-2.24609375000E+00
-16.60000E-06,-2.34765625000E+00
-16.55000E-06,-2.44140625000E+00
-16.50000E-06,-2.53906250000E+00
-16.45000E-06,-2.63671875000E+00
-16.40000E-06,-2.73437500000E+00
-16.35000E-06,-2.82812500000E+00
-16.30000E-06,-2.91796875000E+00
-16.25000E-06,-3.00781250000E+00
-16.20000E-06,-3.09375000000E+00
-16.15000E-06,-3.18359375000E+00
-16.10000E-06,-3.26953125000E+00
-16.05000E-06,-3.35937500000E+00
-16.00000E-06,-3.44531250000E+00
-15.95000E-06,-3.53125000000E+00
-15.90000E-06,-3.60937500000E+00
-15.85000E-06,-3.68750000000E+00
-15.80000E-06,-3.76953125000E+00
-15.75000E-06,-3.84765625000E+00
-15.70000E-06,-3.92578125000E+00
-15.65000E-06,-4.00390625000E+00
-15.60000E-06,-4.08203125000E+00
-15.55000E-06,-4.15234375000E+00
-15.50000E-06,-4.22265625000E+00
