X (Hz),Y (dBV),
10157.01,-81.16736,
10195.2,-81.24326,
10233.38,-81.33302,
10271.57,-81.44368,
10309.75,-81.44703,
10347.93,-81.57467,
10386.12,-81.66066,
10424.3,-81.64513,
10462.49,-81.71558,
10500.67,-81.77586,
10538.86,-81.80653,
10577.04,-81.92052,
10615.22,-81.92383,
10653.41,-81.96986,
10691.59,-82.05682,
10729.78,-82.07726,
10767.96,-82.1666,
10806.15,-82.21008,
10844.33,-82.17467,
10882.51,-82.26201,
10920.7,-82.35693,
10958.88,-82.30708,
10997.07,-82.32088,
11035.25,-80.92992,
11073.44,-82.82012,
11111.62,-82.62269,
11149.8,-82.68201,
11187.99,-82.75322,
11226.17,-82.6282,
11264.36,-82.76865,
11302.54,-82.90465,
11340.73,-82.83226,
11378.91,-82.88612,
11417.09,-82.90988,
11455.28,-82.97815,
11493.46,-83.15096,
11531.65,-83.03123,
11569.83,-82.98651,
11608.02,-83.2093,
11646.2,-83.14464,
11684.38,-83.20123,
11722.57,-83.23088,
11760.75,-83.19391,
11798.94,-83.22341,
11837.12,-83.37593,
11875.31,-83.22711,
11913.49,-83.21867,
11951.67,-82.98653,
11989.86,-82.76402,
12028.04,-80.87658,
12066.23,-85.76904,
12104.41,-84.35857,
12142.59,-84.23534,
12180.78,-84.14812,
12218.96,-84.01797,
12257.15,-84.04922,
12295.33,-84.13762,
12333.52,-84.07272,
12371.7,-84.05626,
12409.88,-84.08108,
12448.07,-84.11651,
12486.25,-84.1407,
12524.44,-84.14171,
12562.62,-84.07451,
12600.81,-84.15714,
12638.99,-84.11877,
12677.17,-84.13075,
12715.36,-84.09456,
12753.54,-84.02291,
12791.73,-84.07895,
12829.91,-84.08082,
12868.1,-83.88399,
12906.28,-83.65506,
12944.46,-83.27569,
12982.65,-82.74548,
13020.83,-80.59907,
13059.02,-94.1275,
13097.2,-87.52972,
13135.39,-86.47673,
13173.57,-85.94061,
13211.75,-85.64552,
13249.94,-85.92819,
13288.12,-85.69603,
13326.31,-85.51834,
13364.49,-85.4837,
13402.68,-85.52924,
13440.86,-85.6054,
13479.04,-85.67574,
13517.23,-85.40612,
13555.41,-85.54425,
13593.6,-85.59768,
13631.78,-85.60432,
13669.97,-85.66822,
13708.15,-85.54466,
13746.33,-85.65714,
